trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,11,18.737881992412277,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",20,13,12.573337207593564,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",20,0,29.399837508061538,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",25,0,-2.569855846142903,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,8,19.968528927588114,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",25,16,15.399301240691262,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",25,3,34.38250769490478,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",30,0,23.74971739314994,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",20,6,-26.645008227229063,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",25,19,8.895124119047365,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",25,0,-22.332497083325876,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",30,0,32.52083777050297,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",25,17,17.022029190437312,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
